# command: python3 c4min_hunt_run.py ../results/k4_certs_6_n4_1.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n6_1.ckpt
# commit bf2f6af, k4/c4min_hunt.c sha1 60fbc9be5f85, started Fri Sep 25 23:37:09 UTC 2026
core 233 m 6 profiles 2239488 fails 0 solved 10835 secs 0.1
core 234 m 6 profiles 2239488 fails 0 solved 9589 secs 0.1
core 235 m 6 profiles 2239488 fails 0 solved 13152 secs 0.1
core 236 m 6 profiles 2239488 fails 0 solved 11641 secs 0.1
core 237 m 6 profiles 2239488 fails 0 solved 11810 secs 0.1
core 238 m 6 profiles 2239488 fails 0 solved 7460 secs 0.0
core 239 m 6 profiles 2239488 fails 0 solved 9559 secs 0.1
core 240 m 6 profiles 2239488 fails 0 solved 12350 secs 0.1
core 241 m 6 profiles 2239488 fails 0 solved 7656 secs 0.0
core 242 m 6 profiles 2239488 fails 0 solved 7858 secs 0.0
core 243 m 6 profiles 2239488 fails 0 solved 6863 secs 0.0
core 244 m 6 profiles 2239488 fails 0 solved 12122 secs 0.1
core 245 m 6 profiles 2239488 fails 0 solved 7113 secs 0.0
core 246 m 6 profiles 2239488 fails 0 solved 7102 secs 0.0
core 247 m 6 profiles 2239488 fails 0 solved 10030 secs 0.1
core 248 m 6 profiles 2239488 fails 0 solved 7844 secs 0.0
core 249 m 6 profiles 2239488 fails 0 solved 7608 secs 0.0
core 250 m 6 profiles 2239488 fails 0 solved 10971 secs 0.1
core 251 m 6 profiles 2239488 fails 0 solved 9125 secs 0.0
core 252 m 6 profiles 2239488 fails 0 solved 9251 secs 0.1
core 253 m 6 profiles 2239488 fails 0 solved 11565 secs 0.1
core 254 m 6 profiles 2239488 fails 0 solved 10804 secs 0.1
core 255 m 6 profiles 2239488 fails 0 solved 14123 secs 0.1
core 256 m 6 profiles 2239488 fails 0 solved 9947 secs 0.1
core 257 m 6 profiles 2239488 fails 0 solved 8942 secs 0.0
core 258 m 6 profiles 2239488 fails 0 solved 9319 secs 0.1
core 259 m 6 profiles 2239488 fails 0 solved 13783 secs 0.1
core 260 m 6 profiles 2239488 fails 0 solved 10357 secs 0.1
core 261 m 6 profiles 2239488 fails 0 solved 8863 secs 0.1
core 262 m 6 profiles 2239488 fails 0 solved 13730 secs 0.1
core 263 m 6 profiles 2239488 fails 0 solved 9316 secs 0.1
core 264 m 6 profiles 2239488 fails 0 solved 9711 secs 0.1
core 265 m 6 profiles 2239488 fails 0 solved 7295 secs 0.0
