# pass 1: $ cd k4 && python3 mincex_cert.py ../results/k4_min_cex_shapes_4.json.gz OUT --jobs=3 --timeout=30   (search4.py scanner; stopped after 2,463 cores and resumed in pass 2)
5558 cores, 0 in the checkpoint, 5558 to run
n = 5, m = 11, kinds P4P4P3Q4P4, 238878720 profiles: 32 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds Q4Q4P4P3P3, 382205952 profiles: 58 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds Q4P4P4Q3P3, 47775744 profiles: 27 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4P4Q3P4P3, 4976640 profiles: 22 allocations, 0 D2 failures, 0.2 s
n = 5, m = 11, kinds Q4P4P4P4P3, 238878720 profiles: 28 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4Q4P4P3P3, 207360 profiles: 4 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds P4Q4Q4P3P3, 3317760 profiles: 16 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P4P4Q3P3, 35831808 profiles: 38 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds Q4P4Q3P4P3, 35831808 profiles: 32 allocations, 0 D2 failures, 0.4 s
n = 5, m = 11, kinds Q4P4P4P4P3, 1719926784 profiles: 57 allocations, 0 D2 failures, 2.5 s
n = 5, m = 10, kinds P4Q4P4Q3P3, 4976640 profiles: 12 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4Q4Q3P4P3, 4976640 profiles: 14 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q3Q4P4P4P3, 47775744 profiles: 28 allocations, 0 D2 failures, 0.3 s
n = 5, m = 11, kinds P4Q4P4P4P3, 238878720 profiles: 32 allocations, 0 D2 failures, 0.7 s
n = 5, m = 10, kinds Q4P4P4Q3P3, 47775744 profiles: 19 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4P4Q3P4P3, 4976640 profiles: 8 allocations, 0 D2 failures, 0.2 s
n = 5, m = 11, kinds Q4P4P4P4P3, 238878720 profiles: 31 allocations, 0 D2 failures, 0.5 s
n = 5, m = 11, kinds P4P4P4Q3P4, 41278242816 profiles: timeout (30 s)
n = 5, m = 10, kinds Q4P4P3Q4P3, 382205952 profiles: 51 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds P4P4Q3P4Q3, 859963392 profiles: 113 allocations, 0 D2 failures, 1.4 s
n = 5, m = 10, kinds P4P4P4Q3Q3, 859963392 profiles: 104 allocations, 0 D2 failures, 2.0 s
n = 5, m = 10, kinds Q3P4P4Q3P4, 859963392 profiles: 106 allocations, 0 D2 failures, 1.6 s
n = 5, m = 11, kinds P4P4P4P4Q3, 41278242816 profiles: 203 allocations, 0 D2 failures, 10.2 s
n = 5, m = 12, kinds P4P4P4P4P4, 1981355655168 profiles: timeout (30 s)
n = 5, m = 10, kinds Q4P4P3Q4P3, 382205952 profiles: 59 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds Q4P4P3Q4P3, 382205952 profiles: 72 allocations, 0 D2 failures, 0.8 s
