# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_3.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n5_3.ckpt
# commit 4127f70, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:19:13 UTC 2026
core 301 m 6 profiles 859963392 fails 0 solved 85618 secs 3.0
core 302 m 6 profiles 859963392 fails 0 solved 96427 secs 2.7
core 303 m 6 profiles 859963392 fails 0 solved 100490 secs 3.1
core 304 m 6 profiles 859963392 fails 0 solved 85203 secs 2.3
core 305 m 6 profiles 859963392 fails 0 solved 120139 secs 2.8
core 306 m 6 profiles 859963392 fails 0 solved 88431 secs 2.6
core 307 m 6 profiles 859963392 fails 0 solved 118515 secs 3.1
core 308 m 6 profiles 859963392 fails 0 solved 119522 secs 3.0
core 309 m 6 profiles 859963392 fails 0 solved 67664 secs 2.2
core 310 m 6 profiles 859963392 fails 0 solved 86638 secs 2.8
core 311 m 6 profiles 859963392 fails 0 solved 101584 secs 2.3
core 312 m 6 profiles 859963392 fails 0 solved 71281 secs 2.4
core 313 m 6 profiles 859963392 fails 0 solved 72798 secs 2.6
core 314 m 6 profiles 859963392 fails 0 solved 73941 secs 2.4
core 315 m 6 profiles 859963392 fails 0 solved 81408 secs 2.7
core 316 m 6 profiles 859963392 fails 0 solved 75665 secs 2.4
core 317 m 6 profiles 859963392 fails 0 solved 89436 secs 2.6
core 318 m 6 profiles 859963392 fails 0 solved 91778 secs 2.7
core 319 m 6 profiles 859963392 fails 0 solved 78464 secs 2.3
core 320 m 6 profiles 859963392 fails 0 solved 87638 secs 3.0
core 321 m 6 profiles 859963392 fails 0 solved 83856 secs 2.3
core 322 m 6 profiles 859963392 fails 0 solved 100380 secs 2.8
core 323 m 6 profiles 859963392 fails 0 solved 98965 secs 2.8
core 324 m 6 profiles 859963392 fails 0 solved 110927 secs 2.8
core 325 m 6 profiles 859963392 fails 0 solved 110650 secs 2.8
core 326 m 6 profiles 859963392 fails 0 solved 97174 secs 3.1
core 327 m 6 profiles 859963392 fails 0 solved 99605 secs 2.6
core 328 m 6 profiles 859963392 fails 0 solved 109094 secs 2.9
core 329 m 6 profiles 859963392 fails 0 solved 85621 secs 2.1
core 330 m 6 profiles 859963392 fails 0 solved 101578 secs 2.8
core 331 m 6 profiles 859963392 fails 0 solved 84065 secs 2.4
core 332 m 6 profiles 859963392 fails 0 solved 91096 secs 3.2
core 333 m 6 profiles 859963392 fails 0 solved 99961 secs 2.5
core 334 m 6 profiles 859963392 fails 0 solved 93494 secs 2.5
core 335 m 6 profiles 859963392 fails 0 solved 130241 secs 2.9
core 336 m 6 profiles 859963392 fails 0 solved 100188 secs 2.9
